DATE,FUEL_COST_PER_LITRE
2024-07-22,92.03
2024-07-21,92.03
2024-07-20,92.03
2024-07-19,92.03
2024-07-18,92.03
2024-07-17,92.03
2024-07-16,92.03
2024-07-15,92.03
2024-07-14,92.03
2024-07-13,92.03
2024-07-12,92.03
2024-07-11,92.03
2024-07-10,92.03
2024-07-09,92.03
2024-07-08,92.03
2024-07-07,92.03
2024-07-06,92.03
2024-07-05,92.03
2024-07-04,92.03
2024-07-03,92.03
2024-07-02,92.03
2024-07-01,92.03
2024-06-30,92.03
2024-06-29,92.03
2024-06-28,92.03
2024-06-27,92.03
2024-06-26,92.03
2024-06-25,92.03
2024-06-24,92.03
2024-06-23,92.03
2024-06-22,92.03
2024-06-21,92.03
2024-06-20,92.03
2024-06-19,92.03
2024-06-18,92.03
2024-06-17,92.03
2024-06-16,92.03
2024-06-15,92.03
2024-06-14,92.03
2024-06-13,92.03
2024-06-12,92.03
2024-06-11,92.03
2024-06-10,92.03
2024-06-09,92.03
2024-06-08,92.03
2024-06-07,92.03
2024-06-06,92.03
2024-06-05,92.03
2024-06-04,92.03
2024-06-03,92.03
2024-06-02,92.03
2024-06-01,92.03
2024-05-31,92.03
2024-05-30,92.0300000000001
2024-05-29,92.0300000000001
2024-05-28,92.0300000000001
2024-05-27,92.0300000000001
2024-05-26,92.0300000000001
2024-05-25,92.0300000000001
2024-05-24,92.0300000000001
2024-05-23,92.0300000000001
2024-05-22,92.0300000000001
2024-05-21,92.0300000000001
2024-05-20,92.0300000000001
2024-05-19,92.0300000000001
2024-05-18,92.0300000000001
2024-05-17,92.0300000000001
2024-05-16,92.0300000000001
2024-05-15,92.0300000000001
2024-05-14,92.0300000000001
2024-05-13,92.0300000000001
2024-05-12,92.0300000000001
2024-05-11,92.0300000000002
2024-05-10,92.0300000000002
2024-05-09,92.0300000000002
2024-05-08,92.0300000000002
2024-05-07,92.0300000000002
2024-05-06,92.0300000000002
2024-05-05,92.0300000000002
2024-05-04,92.0300000000002
2024-05-03,92.0300000000002
2024-05-02,92.0300000000002
2024-05-01,92.0300000000002
2024-04-30,92.0300000000002
2024-04-29,92.0300000000002
2024-04-28,92.0300000000002
2024-04-27,92.0300000000002
2024-04-26,92.0300000000002
2024-04-25,92.0300000000002
2024-04-24,92.0300000000002
2024-04-23,92.0300000000002
2024-04-22,92.0300000000002
2024-04-21,92.0300000000002
2024-04-20,92.0300000000002
2024-04-19,92.0300000000002
2024-04-18,92.0300000000002
2024-04-17,92.0300000000003
2024-04-16,92.0300000000003
2024-04-15,92.0300000000003
2024-04-14,92.0300000000003
2024-04-13,92.0300000000003
2024-04-12,92.0300000000003
2024-04-11,92.0300000000003
2024-04-10,92.0300000000003
2024-04-09,92.0300000000003
2024-04-08,92.0300000000003
2024-04-07,92.0300000000003
2024-04-06,92.0300000000003
2024-04-05,92.0300000000003
2024-04-04,92.0300000000003
2024-04-03,92.0300000000003
2024-04-02,92.0300000000003
2024-04-01,92.03
2024-03-31,92.03
2024-03-30,92.03
2024-03-29,92.03
2024-03-28,92.03
2024-03-27,92.03
2024-03-26,92.03
2024-03-25,92.03
2024-03-24,92.03
2024-03-23,92.03
2024-03-22,92.03
2024-03-21,92.03
2024-03-20,92.03
2024-03-19,92.03
2024-03-18,92.03
2024-03-17,92.03
2024-03-16,92.03
2024-03-15,92.03
2024-03-14,94.02
2024-03-13,94.02
2024-03-12,94.02
2024-03-11,94.02
2024-03-10,94.02
2024-03-09,94.02
2024-03-08,94.02
2024-03-07,94.02
2024-03-06,94.02
2024-03-05,94.02
2024-03-04,94.02
2024-03-03,94.02
2024-03-02,94.02
2024-03-01,94.02
2024-02-29,94.02
2024-02-28,94.02
2024-02-27,94.02
2024-02-26,94.02
2024-02-25,94.02
2024-02-24,94.02
2024-02-23,94.02
2024-02-22,94.02
2024-02-21,94.02
2024-02-20,94.02
2024-02-19,94.02
2024-02-18,94.02
2024-02-17,94.02
2024-02-16,94.02
2024-02-15,94.02
2024-02-14,94.02
2024-02-13,94.02
2024-02-12,94.02
2024-02-11,94.02
2024-02-10,94.02
2024-02-09,94.02
2024-02-08,94.02
2024-02-07,94.02
2024-02-06,94.02
2024-02-05,94.02
2024-02-04,94.02
2024-02-03,94.02
2024-02-02,94.02
2024-02-01,94.02
2024-01-31,94.02
2024-01-30,94.02
2024-01-29,94.02
2024-01-28,94.02
2024-01-27,94.02
2024-01-26,94.02
2024-01-25,94.02
2024-01-24,94.02
2024-01-23,94.02
2024-01-22,94.02
2024-01-21,94.02
2024-01-20,94.02
2024-01-19,94.02
2024-01-18,94.02
2024-01-17,94.02
